Achilles Tang,0.39825883507728577,-0.11398918181657791,0.06665974855422974
Purple Tang,0.3125300407409668,-0.0917934775352478,0.04094132035970688
Afghan Tortoise,0.138522669672966,0.09321451932191849,-0.7548971176147461
Markhor,0.16962864995002747,0.08108863979578018,-0.7599161267280579
African Clawed Frog,0.07746545225381851,0.01877506449818611,-0.15612562000751495
Zebrafish,0.09540493041276932,0.03187277168035507,-0.13804969191551208
Rainbow shark,0.05961517244577408,0.01879696361720562,-0.16773758828639984
Honey Bush,0.1460196077823639,0.06280812621116638,-0.21875382959842682
Goldfish ,-0.018293889239430428,-0.03251706436276436,-0.05787520483136177
African Spurred Tortoise,0.010528212413191795,0.05252031981945038,0.08836738765239716
Leopard Tortoise,0.024458060041069984,0.03915482386946678,0.07792048156261444
Elongated Tortoise,0.02182053215801716,0.10575084388256073,0.142849400639534
Savannah Monitor,0.08205674588680267,0.04439209774136543,0.10018928349018097
Takin,-0.00789574533700943,0.00846486072987318,0.008588551543653011
Aldabra Giant Tortoise,0.041673146188259125,0.08630005270242691,0.1409563571214676
Alligator Snapping Turtle,-0.0798465833067894,-0.025602176785469055,0.028089920058846474
Indian Star Tortoise,0.04239592328667641,0.09788321703672409,0.13505177199840546
Alligator Gar,-0.10307761281728745,-0.054537467658519745,-0.022223250940442085
Arapaima,-0.1252540647983551,-0.07884540408849716,-0.0321807935833931
Gator,-0.007540395483374596,-0.05234140902757645,0.0202140212059021
American Crocodile,-0.03144550323486328,-0.09524300694465637,0.021219512447714806
Kinkajou,-0.18041059374809265,-0.12970103323459625,-0.048947107046842575
Mekong catfish,-0.1658223569393158,-0.10348361730575562,-0.044796090573072433
Red Fish,-0.0788617953658104,0.00681156013160944,-0.009750405326485634
Halloween Pennant,-0.17709212005138397,-0.12189732491970062,-0.06889379024505615
Clown knifefish,-0.06543390452861786,-0.04684777557849884,-0.04019971191883087
Nightfish,-0.03925303742289543,-0.01006433553993702,-0.07650945335626602
Diamondback Terrapin,-0.04135836660861969,-0.04693983122706413,0.14956966042518616
Longnose Gar,-0.1250399500131607,-0.08849995583295822,-0.054741956293582916
Largemouth Bass,-0.09428523480892181,-0.04052381590008736,-0.02174070104956627
Bighead Carp ,-0.07298015803098679,-0.05051722005009651,-0.07080188393592834
Electric eel,-0.0225182194262743,-0.059718336910009384,0.0001532239402877167
Pig Frog,-0.19001668691635132,-0.12128689140081406,-0.03961293026804924
Florida Gar,-0.16315262019634247,-0.09219557791948318,-0.038707196712493896
Blue Catfish,-0.16162759065628052,-0.062147971242666245,-0.032549068331718445
Smallmouth Bass,-0.11348732560873032,-0.04558980092406273,-0.02415015734732151
Redear Sunfish,-0.04422551020979881,-0.09476517140865326,-0.21453891694545746
Pirarucu,-0.0889214277267456,-0.11298518627882004,0.006497938651591539
Goblin Shark,-0.04338109493255615,-0.04752448946237564,-0.09889665246009827
Hellbender,-0.2080816924571991,-0.036712467670440674,0.15573126077651978
Smallmouth Buffalo,-0.20422905683517456,-0.09602523595094681,-0.04756518080830574
Needlenose,-0.14859890937805176,-0.08869437873363495,-0.0338108167052269
Giant Gourami,-0.19893546402454376,-0.09269702434539795,-0.06704302877187729
Swampfish,-0.20058897137641907,-0.10725735127925873,-0.03748292103409767
Shortnose Gar,-0.19203941524028778,-0.12037426978349686,-0.024792157113552094
Giant Snakehead,-0.18846644461154938,-0.11333326250314713,-0.06270493566989899
Dog fish,-0.03905702009797096,0.007826556451618671,0.08958353102207184
Arrow Head,-0.03911444917321205,-0.16656288504600525,-0.04060646519064903
Kaluga,-0.21644748747348785,-0.10748879611492157,-0.09960666298866272
Red snapper,-0.10977799445390701,0.06314519792795181,0.03101428598165512
Bowfin,-0.1922515481710434,-0.09742870181798935,-0.07526718825101852
Bull Shark,-0.06160126253962517,-0.04602941498160362,-0.024019211530685425
Alpine Marmot,0.6308058500289917,-0.7161495089530945,0.1328555792570114
African Pygmy Squirrel,0.6535802483558655,-0.7424092292785645,0.13741116225719452
Ambon Chromis,0.44750767946243286,-0.27516046166419983,-0.6054019927978516
Longfin Bannerfish,0.4489143192768097,-0.29232338070869446,-0.5980526208877563
American Alligator,-0.0161131639033556,-0.06223386898636818,0.02561689354479313
American Beaver,-0.009568814188241959,-0.1652764230966568,0.027146723121404648
Nile Crocodile,-0.021484870463609695,-0.1079888790845871,0.02383791096508503
Black Caiman,-0.08651406317949295,-0.1324758678674698,-0.0463562086224556
Flip Flop,-0.02459091693162918,-0.0034570242278277874,-0.007043319288641214
No name,0.10962400585412979,-0.06775641441345215,0.07207939773797989
Saw Grass,0.002879310864955187,-0.09814732521772385,0.03236360847949982
Topi,-0.10743022710084915,0.026657139882445335,0.02442583627998829
Bald Eagle,-0.07988925278186798,-0.037237491458654404,0.014324415475130081
Godbless,-0.007971640676259995,-0.008052905090153217,-0.028613140806555748
King Cobra,0.006294795777648687,-0.08783287554979324,0.055969323962926865
Great Blue Heron,-0.02317116968333721,-0.11656469851732254,-0.02258916199207306
Navy Blue,-0.04548966512084007,-0.025658901780843735,0.05558376386761665
Dovetail,-0.07579998672008514,0.014796961098909378,0.06585528701543808
Magellanic Penguin,0.011069348081946373,-0.16262279450893402,0.02760414220392704
Burmese Python,-0.009530872106552124,-0.10665302723646164,0.08315490186214447
Dwarf Caiman,-0.009042493999004364,-0.06686604022979736,-0.020448949187994003
Choppers,0.036043815314769745,-0.04974696412682533,-0.008511779829859734
Crested Gecko,0.07193147391080856,-0.02759171836078167,0.05954618379473686
American Burying Beetle,0.6712570190429688,0.24102267622947693,-0.46694478392601013
